RGB-D	rgb-d=rgb d
RTOS	rtos
JNI	jni
Visual C++	visual c++=visual c=vc++=vc
HTML	htm=html
Groovy	groovy
VINS	vins
CGAL	cgal
ThinkPHP	thinkphp
Sqoop	sqoop
MXNet	mxnet
RCNN	rcnn
Benchmark	benchmark
Maya	maya
CMMI	cmmi
LoadRunner	loadrunner
LSA	lsa
Assembly	assembly
Python	python=phython=pyhton
数学建模	数学建模
SVO算法	svo
贝叶斯分类算法	bayesian=贝叶斯
CAD	cad
OpenGL ES	opengl es
SSIS	ssis
CAM	cam
信号处理	信号信息处理=信号处理
R-FCN	r-fcn
GIS	gis
Vue.js	vuejs
Hive	hive
N-gram	n-gram
DevOps	devops
Git	git
Unity	unity
POMDP	pomdp
Ansible	ansible
VGG	vgg
MVC	mvc
LTE	lte
SAS EM	sas em
Adobe Premiere	pr
Category	category
SAS	sas
SAR	sar
AutoCAD	autocad
LTP	ltp
并行算法	并行算法
Spark Streaming	spark streaming=sparkstreaming=spark-streaming
gRPC	grpc
IoT	iot
CMOS	cmos
TDD	tdd
Spark GraphX	graphx
Lua	lua
Flash	flash
Flask	flask
Lookalike算法	lookalike
Dlib	dlib
HMI	hmi
Regression	regression
HMM	hmm
IOS	ios
Apache Hadoop	hadoop
PowerPoint	ppt=power point=powerpoint
AUTOSAR	autosar
Eigen	eigen
REST	rest
XML	xml
ModelSim	modelsim
SCM	scm
Memcached	memcached=memcache
Kubernetes	kubernetes
